kp,pipeline_id,pipeline_code,pipeline_name,latitude,longitude,elevation,slope_deg,river_proximity_km,fault_distance_km,soil_type,soil_risk,flooding_index,earthquake_factor,erosion_factor,landslide_index,soil_corrosivity_index,hoop_stress_ratio,pipe_diameter_inches,operating_pressure_psig,pipe_material,design_wall_thickness_mm,operational_age_years,corrosion_rate_mm_per_year,thickness_loss_mm,remaining_wall_thickness_mm,material_loss_percent,degradation_condition,failure_probability,failure_probability_percent,risk_class,primary_hazard,failure_code,diagnostic_message,remediation_plan
87.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.151112,7.16436,214.0,2.69,45.1,9.36,Expansive Shale & Rocky Outcrop,2,0.144,0.137,0.1,0.251,0.637,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.293,1.17,21.03,5.3,Normal,0.1507,15.1,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 87.0: High external corrosion hazard (15.1%) resulting from saturated groundwater (Corrosivity Index 0.637) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
88.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.159292,7.168135,229.0,1.09,46.05,9.72,Expansive Shale & Rocky Outcrop,2,0.129,0.133,0.11,0.224,0.611,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.294,1.18,21.02,5.3,Normal,0.1418,14.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 88.0: High external corrosion hazard (14.2%) resulting from saturated groundwater (Corrosivity Index 0.611) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
89.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.167472,7.17191,233.0,0.57,47.01,11.07,Expansive Shale & Rocky Outcrop,2,0.129,0.125,0.05,0.185,0.605,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.275,1.1,21.1,5.0,Normal,0.1286,12.9,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 89.0: High external corrosion hazard (12.9%) resulting from saturated groundwater (Corrosivity Index 0.605) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
90.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.175652,7.175686,219.0,1.72,47.97,12.11,Expansive Shale & Rocky Outcrop,2,0.126,0.082,0.096,0.226,0.628,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.293,1.17,21.03,5.3,Normal,0.1351,13.5,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 90.0: High external corrosion hazard (13.5%) resulting from saturated groundwater (Corrosivity Index 0.628) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
91.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.183832,7.179461,203.0,1.72,48.93,12.55,Expansive Shale & Rocky Outcrop,2,0.145,0.097,0.104,0.212,0.656,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.323,1.29,20.91,5.8,Normal,0.1417,14.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 91.0: High external corrosion hazard (14.2%) resulting from saturated groundwater (Corrosivity Index 0.656) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
92.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.192013,7.183237,189.0,2.23,49.89,13.77,Stable Sandy Loam,0,0.153,0.113,0.085,0.207,0.28,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.148,0.59,21.61,2.7,Normal,0.1084,10.8,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 92.0: Stable terrain conditions (10.8% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
93.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.200193,7.187012,164.0,1.72,50.85,14.84,Stable Sandy Loam,0,0.181,0.098,0.059,0.172,0.322,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.163,0.65,21.55,2.9,Normal,0.1075,10.8,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 93.0: Stable terrain conditions (10.8% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
94.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.208373,7.190787,159.0,0.69,51.81,15.57,Stable Sandy Loam,0,0.184,0.077,0.056,0.161,0.331,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.18,0.72,21.48,3.2,Normal,0.1041,10.4,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 94.0: Stable terrain conditions (10.4% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
95.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.216553,7.194563,176.0,1.03,52.78,16.63,Stable Sandy Loam,0,0.176,0.074,0.078,0.183,0.302,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.193,0.77,21.43,3.5,Normal,0.1051,10.5,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 95.0: Stable terrain conditions (10.5% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
96.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.224733,7.198338,177.0,0.46,53.75,17.38,Stable Sandy Loam,0,0.182,0.077,0.05,0.146,0.3,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.193,0.77,21.43,3.5,Normal,0.0981,9.8,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 96.0: Stable terrain conditions (9.8% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
97.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.232913,7.202114,168.0,0.8,54.72,18.56,Stable Sandy Loam,0,0.161,0.083,0.05,0.138,0.315,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.165,0.66,21.54,3.0,Normal,0.0951,9.5,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 97.0: Stable terrain conditions (9.5% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
98.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.241093,7.205889,163.0,1.2,55.68,19.32,Stable Sandy Loam,0,0.157,0.051,0.082,0.154,0.324,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.177,0.71,21.49,3.2,Normal,0.0965,9.7,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 98.0: Stable terrain conditions (9.7% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
99.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.249273,7.209664,189.0,3.84,56.65,20.76,Stable Sandy Loam,0,0.147,0.08,0.098,0.27,0.279,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.148,0.59,21.61,2.7,Normal,0.1139,11.4,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 99.0: Stable terrain conditions (11.4% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
100.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.257923,7.212113,230.0,4.35,57.58,21.26,Expansive Shale & Rocky Outcrop,2,0.096,0.05,0.101,0.312,0.609,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.29,1.16,21.04,5.2,Normal,0.1377,13.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 100.0: High external corrosion hazard (13.8%) resulting from saturated groundwater (Corrosivity Index 0.609) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
101.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.266618,7.214432,265.0,0.23,58.5,22.23,Expansive Shale & Rocky Outcrop,2,0.065,0.068,0.067,0.176,0.549,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.281,1.12,21.08,5.0,Normal,0.1045,10.4,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 101.0: High external corrosion hazard (10.4%) resulting from saturated groundwater (Corrosivity Index 0.549) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
102.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.275314,7.21675,234.0,3.32,59.42,23.42,Expansive Shale & Rocky Outcrop,2,0.082,0.088,0.147,0.273,0.602,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.28,1.12,21.08,5.0,Normal,0.1375,13.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 102.0: High external corrosion hazard (13.8%) resulting from saturated groundwater (Corrosivity Index 0.602) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
103.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.284009,7.219069,207.0,1.89,60.34,24.48,Expansive Shale & Rocky Outcrop,2,0.142,0.045,0.061,0.215,0.648,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.306,1.22,20.98,5.5,Normal,0.1301,13.0,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 103.0: High external corrosion hazard (13.0%) resulting from saturated groundwater (Corrosivity Index 0.648) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
104.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.292705,7.221388,201.0,2.4,61.27,25.32,Expansive Shale & Rocky Outcrop,2,0.129,0.061,0.114,0.217,0.659,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.301,1.2,21.0,5.4,Normal,0.136,13.6,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 104.0: High external corrosion hazard (13.6%) resulting from saturated groundwater (Corrosivity Index 0.659) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
105.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.301401,7.223707,165.0,0.29,62.2,26.34,Stable Sandy Loam,0,0.191,0.062,0.055,0.118,0.32,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.179,0.72,21.48,3.2,Normal,0.0956,9.6,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 105.0: Stable terrain conditions (9.6% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
106.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.310096,7.226026,206.0,1.49,63.13,27.19,Expansive Shale & Rocky Outcrop,2,0.117,0.047,0.066,0.185,0.65,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.3,1.2,21.0,5.4,Normal,0.1218,12.2,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 106.0: High external corrosion hazard (12.2%) resulting from saturated groundwater (Corrosivity Index 0.65) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
107.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.318792,7.228345,191.0,0.86,64.07,27.96,Stable Sandy Loam,0,0.136,0.037,0.095,0.175,0.275,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.172,0.69,21.51,3.1,Normal,0.0908,9.1,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 107.0: Stable terrain conditions (9.1% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
108.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.327488,7.230663,221.0,0.69,65.0,29.27,Expansive Shale & Rocky Outcrop,2,0.115,0.034,0.063,0.187,0.624,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.307,1.23,20.97,5.5,Normal,0.1174,11.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 108.0: High external corrosion hazard (11.7%) resulting from saturated groundwater (Corrosivity Index 0.624) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
109.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.336183,7.232982,203.0,0.52,65.94,30.02,Expansive Shale & Rocky Outcrop,2,0.114,0.045,0.05,0.172,0.655,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.312,1.25,20.95,5.6,Normal,0.1179,11.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 109.0: High external corrosion hazard (11.8%) resulting from saturated groundwater (Corrosivity Index 0.655) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
110.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.344879,7.235301,212.0,0.69,66.88,30.95,Expansive Shale & Rocky Outcrop,2,0.148,0.063,0.05,0.162,0.639,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.289,1.16,21.04,5.2,Normal,0.1235,12.3,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 110.0: High external corrosion hazard (12.3%) resulting from saturated groundwater (Corrosivity Index 0.639) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
111.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.353574,7.23762,215.0,0.52,67.82,31.85,Expansive Shale & Rocky Outcrop,2,0.103,0.038,0.05,0.161,0.634,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.317,1.27,20.93,5.7,Normal,0.1114,11.1,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 111.0: High external corrosion hazard (11.1%) resulting from saturated groundwater (Corrosivity Index 0.634) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
112.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.36227,7.239939,221.0,0.8,68.77,32.73,Expansive Shale & Rocky Outcrop,2,0.115,0.05,0.1,0.173,0.624,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.293,1.17,21.03,5.3,Normal,0.1207,12.1,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 112.0: High external corrosion hazard (12.1%) resulting from saturated groundwater (Corrosivity Index 0.624) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
113.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.370966,7.242257,201.0,2.06,69.71,34.24,Expansive Shale & Rocky Outcrop,2,0.152,0.074,0.068,0.21,0.658,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.317,1.27,20.93,5.7,Normal,0.1365,13.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 113.0: High external corrosion hazard (13.7%) resulting from saturated groundwater (Corrosivity Index 0.658) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
114.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.379661,7.244576,185.0,1.55,70.66,35.19,Stable Sandy Loam,0,0.153,0.058,0.059,0.205,0.286,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.156,0.62,21.58,2.8,Normal,0.0991,9.9,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 114.0: Stable terrain conditions (9.9% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
115.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.388357,7.246895,174.0,1.37,71.6,35.8,Stable Sandy Loam,0,0.157,0.054,0.052,0.165,0.304,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.18,0.72,21.48,3.2,Normal,0.094,9.4,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 115.0: Stable terrain conditions (9.4% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
116.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.397052,7.249214,161.0,2.53,72.55,36.76,Stable Sandy Loam,0,0.178,0.032,0.095,0.217,0.326,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.166,0.66,21.54,3.0,Normal,0.109,10.9,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 116.0: Stable terrain conditions (10.9% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
116.3,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,8.4,7.25,159.0,1.15,72.87,37.12,Stable Sandy Loam,0,0.157,0.03,0.108,0.155,0.33,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.198,0.79,21.41,3.6,Normal,0.0968,9.7,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 116.3: Stable terrain conditions (9.7% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
0.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.5564,6.6552,70.0,1.6,0.05,11.37,Saturated Alluvial Silty Clay,2,0.98,0.118,0.55,0.123,0.97,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.425,5.1,9.2,35.7,Critical,0.341,34.1,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 0.0: High failure probability (34.1%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.05 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
1.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.547433,6.65589,98.0,1.72,1.0,12.31,Saturated Alluvial Silty Clay,2,0.787,0.117,0.334,0.131,0.952,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.431,5.17,9.13,36.2,Critical,0.2873,28.7,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 1.0: High external corrosion hazard (28.7%) resulting from saturated groundwater (Corrosivity Index 0.952) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
2.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.538466,6.65658,100.0,1.66,2.0,13.56,Stable Sandy Loam,0,0.513,0.065,0.235,0.148,0.5,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.264,3.17,11.13,22.2,Moderate,0.1862,18.6,Low,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 2.0: High failure probability (18.6%) driven by severe River Niger flood inundation (Flood Index 0.513, 2.0 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
3.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.529498,6.657269,69.0,1.43,3.0,13.99,Corrosive Lowland Clay,1,0.483,0.071,0.147,0.103,0.733,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.351,4.21,10.09,29.4,Moderate,0.1877,18.8,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 3.0: High external corrosion hazard (18.8%) resulting from saturated groundwater (Corrosivity Index 0.733) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
4.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.520531,6.657959,75.0,2.41,4.0,15.22,Corrosive Lowland Clay,1,0.414,0.076,0.202,0.153,0.711,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.343,4.12,10.18,28.8,Moderate,0.1866,18.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 4.0: High external corrosion hazard (18.7%) resulting from saturated groundwater (Corrosivity Index 0.711) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
5.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.511546,6.658338,111.0,4.12,4.45,16.03,Stable Sandy Loam,0,0.355,0.079,0.183,0.254,0.446,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.23,2.76,11.54,19.3,Moderate,0.1668,16.7,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 5.0: Stable terrain conditions (16.7% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
6.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.50256,6.658698,147.0,2.12,3.45,16.85,Stable Sandy Loam,0,0.385,0.072,0.18,0.208,0.394,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.215,2.58,11.72,18.0,Moderate,0.1594,15.9,Low,Low Geo-Hazard Stress (Nominal Operational),NOMINAL-00,KP 6.0: Stable terrain conditions (15.9% PoF). Operating within normal design parameters under standard Catholic Protection monitoring.,Maintain standard periodic aerial Right-of-Way surveillance and annual CP survey.
7.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.493575,6.659079,148.0,2.4,2.45,17.74,Stable Sandy Loam,0,0.454,0.085,0.198,0.188,0.407,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.226,2.71,11.59,19.0,Moderate,0.1729,17.3,Low,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 7.0: High failure probability (17.3%) driven by severe River Niger flood inundation (Flood Index 0.454, 2.45 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
8.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.484595,6.659578,105.0,2.92,1.45,19.0,Saturated Alluvial Silty Clay,2,0.622,0.097,0.299,0.181,0.912,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.399,4.79,9.51,33.5,Moderate,0.2566,25.7,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 8.0: High external corrosion hazard (25.7%) resulting from saturated groundwater (Corrosivity Index 0.912) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
9.0,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.475616,6.660077,97.0,0.13,0.45,19.4,Saturated Alluvial Silty Clay,2,0.98,0.045,0.368,0.096,0.97,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.444,5.33,8.97,37.3,Critical,0.3117,31.2,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 9.0: High failure probability (31.2%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.45 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
9.4,2,GER-FEED,Geregu Power Plant Gas Supply Pipeline,7.4716,6.6603,104.0,4.0,0.05,19.29,Saturated Alluvial Silty Clay,2,0.98,0.05,0.618,0.22,0.97,0.328,24.0,1000.0,API 5L X65,14.3,12.0,0.424,5.09,9.21,35.6,Critical,0.3532,35.3,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 9.4: High failure probability (35.3%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.05 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
0.0,3,OBJ-LINE,Ajaokuta–Obajana Gas Pipeline,7.5564,6.6552,70.0,1.32,0.05,11.7,Saturated Alluvial Silty Clay,2,0.98,0.084,0.555,0.122,0.97,0.314,18.0,850.0,API 5L X52,11.9,10.0,0.434,4.34,7.56,36.5,Critical,0.3352,33.5,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 0.0: High failure probability (33.5%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.05 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
